ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state,zip_code,neighborhood_district,created_year_month,ticket_created_date_time,ticket__last_update_date_time,ticket_closed_date_time,ticket_status,location_city,sr_xcoordinate,sr_ycoordinate,latitude,longitude,method_received,sr_priority,goal_days,actual_completed_days,ticket_year,ObjectId,is_transport
17-10000079,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,22316 SW 107TH AVE,Miami_Dade_County,Florida,33170.0,District 9,20171,2017/01/02 19:28:47.164+00,2017/02/04 05:00:00+00,2017/02/04 05:00:00+00,CLOSED,Miami_Dade_County,865779.49,446115.235,25.559556,-80.364173,WEB,STANDARD,3.0,33.0,2017,32,True
17-10000098,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,24711 SW 112TH CT,Miami_Dade_County,Florida,33032.0,District 8,20171,2017/01/03 00:21:22.461+00,2017/01/24 05:00:00+00,2017/01/24 05:00:00+00,CLOSED,Miami_Dade_County,863116.249,438187.939,25.537779,-80.372365,IPHONE,STANDARD,3.0,22.0,2017,42,True
17-10000121,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,12193 SW 248TH ST,Miami_Dade_County,Florida,33032.0,District 8,20171,2017/01/03 03:21:01.054+00,2017/01/03 18:18:22.231+00,2017/01/03 18:18:22.231+00,CLOSED,Miami_Dade_County,857925.704705801,437827.297371774,25.536854,-80.388111,WEB,STANDARD,3.0,1.0,2017,45,True
17-10002138,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,17230 NW 48TH PL,Miami_Dade_County,Florida,33055.0,District 1,20171,2017/01/03 07:56:00+00,2017/01/04 05:00:00+00,2017/01/04 05:00:00+00,CLOSED,Miami_Dade_County,892586.685,581002.686,25.930289,-80.280631,XTERFACE,STANDARD,3.0,1.0,2017,114,True
17-10002140,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,618 NE 2ND AVE,City_of_Miami,Florida,33132.0,District 3,20171,2017/01/03 09:40:00+00,2017/01/18 05:00:00+00,2017/01/18 05:00:00+00,CLOSED,City_of_Miami,922531.785,526724.98,25.780482,-80.19054,XTERFACE,STANDARD,3.0,15.0,2017,116,True
17-10011526,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,25599 SW 137TH AVE,Miami_Dade_County,Florida,33032.0,District 9,20171,2017/01/03 12:56:00+00,2017/01/03 05:00:00+00,2017/01/03 05:00:00+00,CLOSED,Miami_Dade_County,849854.348,434990.924,25.52915,-80.412626,XTERFACE,STANDARD,3.0,0.0,2017,262,True
17-10011527,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,25599 SW 137TH AVE,Miami_Dade_County,Florida,33032.0,District 9,20171,2017/01/03 12:56:00+00,2017/01/03 05:00:00+00,2017/01/03 05:00:00+00,CLOSED,Miami_Dade_County,849854.348,434990.924,25.52915,-80.412626,XTERFACE,STANDARD,3.0,0.0,2017,263,True
17-10011525,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,25599 SW 137TH AVE,Miami_Dade_County,Florida,33032.0,District 9,20171,2017/01/03 12:56:00+00,2017/01/03 05:00:00+00,2017/01/03 05:00:00+00,CLOSED,Miami_Dade_County,849854.348,434990.924,25.52915,-80.412626,XTERFACE,STANDARD,3.0,0.0,2017,264,True
17-10011523,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,25599 SW 137TH AVE,Miami_Dade_County,Florida,33032.0,District 9,20171,2017/01/03 12:56:00+00,2017/01/03 05:00:00+00,2017/01/03 05:00:00+00,CLOSED,Miami_Dade_County,849854.348,434990.924,25.52915,-80.412626,XTERFACE,STANDARD,3.0,0.0,2017,265,True
17-10011544,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,3845 SW 149TH AVE,Miami_Dade_County,Florida,33185.0,District 11,20171,2017/01/03 12:56:00+00,2017/01/03 05:00:00+00,2017/01/03 05:00:00+00,CLOSED,Miami_Dade_County,841916.925,508526.371,25.731568,-80.435746,XTERFACE,STANDARD,3.0,0.0,2017,266,True
