ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state,zip_code,neighborhood_district,created_year_month,ticket_created_date_time,ticket__last_update_date_time,ticket_closed_date_time,ticket_status,location_city,sr_xcoordinate,sr_ycoordinate,latitude,longitude,method_received,sr_priority,goal_days,actual_completed_days,ticket_year,ObjectId,is_transport
23-10000440,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,13296 SW 328TH ST,City_of_Homestead,Florida,33033.0,District 9,20231,1/2/2023 6:38:21 PM,1/3/2023 2:34:35 PM,1/3/2023 2:34:35 PM,CANCEL,City_of_Homestead,852223.318,410845.732,25.462688,-80.40577,WEB,STANDARD,3.0,1.0,2023,49,True
23-10000059,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,15216 SW 164TH ST,Miami_Dade_County,Florida,33187.0,District 9,20231,1/1/2023 4:45:20 PM,1/3/2023 1:12:59 PM,1/3/2023 1:12:59 PM,DUP,Miami_Dade_County,841021.749,465857.439,25.614181,-80.439015,ANDROID,STANDARD,3.0,2.0,2023,101,True
23-10000121,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,13701 SW 170TH LN,Miami_Dade_County,Florida,33177.0,District 9,20231,1/1/2023 8:40:35 PM,3/14/2023 4:00:00 AM,3/14/2023 4:00:00 AM,CLOSED,Miami_Dade_County,849258.82,463969.482,25.608888,-80.414044,IPHONE,STANDARD,3.0,72.0,2023,151,True
23-10000125,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,16047 SW 272ND ST,Miami_Dade_County,Florida,33031.0,District 8,20231,1/1/2023 9:04:55 PM,1/3/2023 1:54:13 PM,1/3/2023 1:54:13 PM,DUP,Miami_Dade_County,837467.243,429430.376,25.513996,-80.45026,IPHONE,STANDARD,3.0,2.0,2023,155,True
23-10000168,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,31964 SW 192ND AVE,Miami_Dade_County,Florida,33030.0,District 8,20231,1/2/2023 1:21:13 AM,2/8/2023 5:00:00 AM,2/3/2023 5:00:00 AM,CLOSED,Miami_Dade_County,820556.536,413350.565,25.469937,-80.501717,IPHONE,STANDARD,3.0,33.0,2023,194,True
23-10000202,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,16053 SW 272ND ST,Miami_Dade_County,Florida,33031.0,District 8,20231,1/2/2023 5:58:46 AM,1/3/2023 1:37:11 PM,1/3/2023 1:37:11 PM,CLOSED,Miami_Dade_County,837428.205,429429.946,25.513996,-80.450378,IPHONE,STANDARD,3.0,1.0,2023,227,True
23-10000031,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,212 NW 132ND AVE,Miami_Dade_County,Florida,33182.0,District 12,20231,1/1/2023 2:54:27 PM,1/5/2023 5:00:00 AM,1/5/2023 5:00:00 AM,CLOSED,Miami_Dade_County,850639.624,522301.323,25.769362,-80.409063,IPHONE,STANDARD,3.0,4.0,2023,275,True
23-10000033,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,12257 NW 12TH ST,Miami_Dade_County,Florida,33182.0,District 12,20231,1/1/2023 2:58:43 PM,1/18/2023 5:00:00 AM,1/18/2023 5:00:00 AM,CLOSED,Miami_Dade_County,855247.008,527136.202,25.782607,-80.394996,IPHONE,STANDARD,3.0,17.0,2023,277,True
23-10000037,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,2236 NW 2ND AVE,City_of_Miami,Florida,33127.0,District 3,20231,1/1/2023 3:19:40 PM,3/15/2023 4:00:00 AM,3/15/2023 4:00:00 AM,CLOSED,City_of_Miami,919687.528,533288.64,25.798587,-80.199061,IPHONE,STANDARD,3.0,73.0,2023,281,True
23-10000049,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,2400 N MIAMI AVE,City_of_Miami,Florida,33127.0,District 3,20231,1/1/2023 4:07:26 PM,3/15/2023 4:00:00 AM,3/15/2023 4:00:00 AM,CLOSED,City_of_Miami,920962.878,533836.293,25.800073,-80.195175,IPHONE,STANDARD,3.0,73.0,2023,292,True
