ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state,zip_code,neighborhood_district,created_year_month,ticket_created_date_time,ticket__last_update_date_time,ticket_closed_date_time,ticket_status,location_city,sr_xcoordinate,sr_ycoordinate,latitude,longitude,method_received,sr_priority,goal_days,actual_completed_days,ticket_year,ObjectId,is_transport
22-10000469,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,17021 NW 37TH AVE,City_of_Miami_Gardens,Florida,33056.0,District 1,20221,1/3/2022 1:07:48 PM,1/3/2022 8:49:12 PM,1/3/2022 8:49:12 PM,CANCEL,City_of_Miami_Gardens,899183.375,580673.186,25.929281,-80.260566,IPHONE,STANDARD,3.0,0.0,2022,44,True
22-10000154,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,5581 SW 129TH CT,Miami_Dade_County,Florida,33175.0,District 10,20221,1/2/2022 4:14:40 AM,2/10/2022 5:00:00 AM,2/10/2022 5:00:00 AM,CLOSED,Miami_Dade_County,852236.556,502548.954,25.714997,-80.404482,ANDROID,STANDARD,3.0,40.0,2022,89,True
22-10000176,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,2671 NW 131ST ST,Miami_Dade_County,Florida,33167.0,District 2,20221,1/2/2022 1:15:45 PM,3/28/2022 4:00:00 AM,3/28/2022 4:00:00 AM,CLOSED,Miami_Dade_County,905052.597,567785.839,25.893734,-80.242935,IPHONE,STANDARD,3.0,85.0,2022,96,True
22-10000193,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,15720 SW 144TH ST,Miami_Dade_County,Florida,33196.0,District 11,20221,1/2/2022 3:11:44 PM,2/9/2022 5:00:00 AM,2/9/2022 5:00:00 AM,CLOSED,Miami_Dade_County,838124.792,472568.369,25.632679,-80.447722,IPHONE,STANDARD,3.0,38.0,2022,100,True
22-10000194,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,15747 SW 144TH ST,Miami_Dade_County,Florida,33196.0,District 11,20221,1/2/2022 3:15:37 PM,1/3/2022 8:03:40 PM,1/3/2022 8:03:40 PM,CLOSED,Miami_Dade_County,837974.95,472597.974,25.632762,-80.448176,IPHONE,STANDARD,3.0,1.0,2022,101,True
22-10000236,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,11198 SW 162ND AVE,Miami_Dade_County,Florida,33196.0,District 11,20221,1/2/2022 5:38:44 PM,2/14/2022 5:00:00 AM,2/14/2022 5:00:00 AM,CLOSED,Miami_Dade_County,834949.249,483962.57,25.664065,-80.457218,IPHONE,STANDARD,3.0,43.0,2022,114,True
22-10002584,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,10503 NW 36TH PL,Miami_Dade_County,Florida,33147.0,District 2,20221,1/3/2022 7:55:00 AM,2/23/2022 5:00:00 AM,2/23/2022 5:00:00 AM,CLOSED,Miami_Dade_County,900182.688,558929.81,25.869446,-80.2579,XTERFACE,STANDARD,3.0,51.0,2022,132,True
22-10004720,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,1841 S BAYSHORE DR,City_of_Miami,Florida,33133.0,District 7,20221,1/3/2022 11:36:00 AM,1/5/2022 5:00:00 AM,1/5/2022 5:00:00 AM,CLOSED,City_of_Miami,911935.54,511661.013,25.739213,-80.223008,XTERFACE,STANDARD,3.0,2.0,2022,143,True
22-10000414,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,26001 SW 130TH AVE,Miami_Dade_County,Florida,33032.0,District 9,20221,1/3/2022 12:31:14 PM,1/11/2022 5:00:00 AM,1/11/2022 5:00:00 AM,CLOSED,Miami_Dade_County,853666.372,433789.0,25.525796,-80.401083,WEB,STANDARD,3.0,8.0,2022,169,True
22-10000029,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,19798 NW 57TH PL,Miami_Dade_County,Florida,33015.0,District 1,20221,1/1/2022 2:09:18 PM,2/7/2022 5:00:00 AM,2/7/2022 5:00:00 AM,CLOSED,Miami_Dade_County,887475.213,589088.523,25.952611,-80.296051,WEB,STANDARD,3.0,37.0,2022,241,True
