ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state,zip_code,neighborhood_district,created_year_month,ticket_created_date_time,ticket__last_update_date_time,ticket_closed_date_time,ticket_status,location_city,sr_xcoordinate,sr_ycoordinate,latitude,longitude,method_received,sr_priority,goal_days,actual_completed_days,ticket_year,ObjectId,is_transport
21-10000165,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,6154 SW 63RD CT,City_of_South_Miami,Florida,33143.0,District 7,20211,1/1/2021 1:52:48 PM,1/4/2021 3:43:10 AM,1/4/2021 3:43:10 AM,CLOSED,City_of_South_Miami,887563.327,502107.343,25.713305,-80.297198,IPHONE,STANDARD,3.0,2.0,2021,32,True
21-10000996,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,12088 NE 14TH AVE,Miami_Dade_County,Florida,33161.0,District 4,20211,1/1/2021 7:47:30 PM,3/15/2021 4:00:00 AM,3/15/2021 4:00:00 AM,CLOSED,Miami_Dade_County,928972.656,565521.332,25.887106,-80.170224,ANDROID,STANDARD,3.0,73.0,2021,83,True
21-10001227,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,13720 SW 62ND ST,Miami_Dade_County,Florida,33183.0,District 10,20211,1/2/2021 4:20:55 AM,1/4/2021 4:07:32 AM,1/4/2021 4:07:32 AM,CLOSED,Miami_Dade_County,848680.841,500587.67,25.709645,-80.415307,ANDROID,STANDARD,3.0,2.0,2021,118,True
21-10001240,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,1502 SW 147TH AVE,Miami_Dade_County,Florida,33194.0,District 11,20211,1/2/2021 9:14:05 AM,1/4/2021 3:21:09 PM,1/4/2021 3:21:09 PM,CLOSED,Miami_Dade_County,842913.514,516304.272,25.752956,-80.432618,WEB,STANDARD,3.0,2.0,2021,130,True
21-10001249,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,10045 E CALUSA CLUB DR,Miami_Dade_County,Florida,33186.0,District 7,20211,1/2/2021 1:02:36 PM,1/22/2021 5:00:00 AM,1/22/2021 5:00:00 AM,CLOSED,Miami_Dade_County,853181.498,487765.154,25.674311,-80.401815,IPHONE,STANDARD,3.0,20.0,2021,135,True
21-10001274,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,9411 W CALUSA CLUB DR,Miami_Dade_County,Florida,33186.0,District 7,20211,1/2/2021 1:11:15 PM,4/9/2021 7:27:58 PM,1/4/2021 4:33:10 PM,CLOSED,Miami_Dade_County,849773.061,489796.562,25.679942,-80.412136,IPHONE,STANDARD,3.0,2.0,2021,144,True
21-10000372,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,25290 SW 127TH CT,Miami_Dade_County,Florida,33032.0,District 8,20211,1/1/2021 3:33:08 PM,1/4/2021 3:50:09 AM,1/4/2021 3:50:09 AM,CLOSED,Miami_Dade_County,854857.561,436101.626,25.532144,-80.397439,WEB,STANDARD,3.0,2.0,2021,152,True
21-10000388,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,18850 SW 308TH ST,Miami_Dade_County,Florida,33030.0,District 8,20211,1/1/2021 3:42:01 PM,1/4/2021 3:51:37 AM,1/4/2021 3:51:37 AM,CLOSED,Miami_Dade_County,822062.877,417181.095,25.480461,-80.497108,WEB,STANDARD,3.0,2.0,2021,156,True
21-10001172,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,8215 SW 152ND AVE,Miami_Dade_County,Florida,33193.0,District 11,20211,1/1/2021 10:43:15 PM,1/4/2021 3:56:32 AM,1/4/2021 3:56:32 AM,CLOSED,Miami_Dade_County,841216.48,493464.267,25.690135,-80.438069,ANDROID,STANDARD,3.0,2.0,2021,227,True
21-10001179,POTHOLE,,Public_Works_Road_And_Bridges-16-60,Road And Bridges,29035 OLD DIXIE HWY,Miami_Dade_County,Florida,33033.0,District 8,20211,1/1/2021 11:27:38 PM,2/3/2021 5:00:00 AM,2/3/2021 5:00:00 AM,CLOSED,Miami_Dade_County,837558.76,423284.293,25.497085,-80.450059,ANDROID,STANDARD,3.0,33.0,2021,231,True
